page,product_id,title,description
178,MIXED,"Foreground: MIXED\nBackground: WHITE\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 2... Name: 0, dtype: object",": Foreground: MIXED\nBackground: WHITE\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 2... Name: 0, dtype: object"
178,,"Name: 1, dtype: object",": Name: 1, dtype: object"
178,MIXED,"Foreground: MIXED\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: MIXED\nWidth: 5... Foreground: WHITE\nBackground: RED\nWidth: 100... Name: 2, dtype: object",": Foreground: MIXED\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: MIXED\nWidth: 5... Foreground: WHITE\nBackground: RED\nWidth: 100... Name: 2, dtype: object"
178,,"Name: 3, dtype: object",": Name: 3, dtype: object"
178,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 3... Foreground: MIXED\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: MIXED\nWidth: 2... Name: 4, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 3... Foreground: MIXED\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: MIXED\nWidth: 2... Name: 4, dtype: object"
178,,"Name: 5, dtype: object",": Name: 5, dtype: object"
178,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: BLACK\nBackground: MIXED\nWidth: 6... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Name: 6, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: BLACK\nBackground: MIXED\nWidth: 6... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Name: 6, dtype: object"
178,,"Name: 7, dtype: object",": Name: 7, dtype: object"
178,BLACK,"Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: MIXED\nBackground: MIXED\nWidth: 4... Foreground: MIXED\nBackground: MIXED\nWidth: 5... Foreground: MIXED\nBackground: MIXED\nWidth: 6... Name: 8, dtype: object",": Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: MIXED\nBackground: MIXED\nWidth: 4... Foreground: MIXED\nBackground: MIXED\nWidth: 5... Foreground: MIXED\nBackground: MIXED\nWidth: 6... Name: 8, dtype: object"
179,EFAS,caTegOry: safeTy - warNINg cruNch fINgers caTegOry: safeTy -,caTegOry: safeTy - warNINg cruNch fINgers caTegOry: safeTy - warNINg cruNch fINgers For all our latest catalogue updates and company info: www.tvh.com For all our latest catalogue updates and company info: www.tvh.com 176 177 EFAS sregNIf hcNurc gNINraw - yTefas :yrogetac Foreground: MIXED Foreground: MIXED Foreground: YELLOW Foreground: BLACK Background: MIXED Background: MIXED Background: BLACK Background: MIXED Width: 69 mm Width: 100 mm Width: 46 mm Width: 120 mm Height: 69 mm Height: 25 mm Height: 56 mm Height: 60 mm REF 138TA1432 REF 138TA6846 REF 111TA2127 REF 137TA9542 Foreground: MIXED Foreground: BLACK Foreground: MIXED Foreground: MIXED Background: MIXED Background: MIXED Background: MIXED Background: MIXED Width: 127 mm Width: 153 mm Width: 75 mm Width: 175 mm Height: 114 mm Height: 64 mm Height: 125 mm Height: 30 mm REF 139TA3110 REF 138TA2264 REF 137TA9913 REF 138TA2635 Foreground: MIXED Background: MIXED Width: 100 mm Height: 30 mm REF 138TA1342
179,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 6... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: YELLOW\nBackground: BLACK\nWidth: ... Foreground: BLACK\nBackground: MIXED\nWidth: 1... Name: 0, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 6... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: YELLOW\nBackground: BLACK\nWidth: ... Foreground: BLACK\nBackground: MIXED\nWidth: 1... Name: 0, dtype: object"
179,,"Name: 1, dtype: object",": Name: 1, dtype: object"
179,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: BLACK\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 2, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: BLACK\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 2, dtype: object"
179,,"Name: 3, dtype: object",": Name: 3, dtype: object"
179,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 4, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 4, dtype: object"
179,,"Name: 5, dtype: object",": Name: 5, dtype: object"
179,,"Name: 6, dtype: object",": Name: 6, dtype: object"
179,,"Name: 7, dtype: object",": Name: 7, dtype: object"
179,,"Name: 8, dtype: object",": Name: 8, dtype: object"
180,EFAS,caTegOry: safeTy - warNINg lpg For all our latest catalogue ,caTegOry: safeTy - warNINg lpg For all our latest catalogue updates and company info: www.tvh.com 178 gpl gNINraw - yTefas :yrogetac EFAS Foreground: MIXED Foreground: MIXED Foreground: BLACK Foreground: MIXED Background: MIXED Background: WHITE Background: RED Background: MIXED Width: 150 mm Width: 107 mm Width: 150 mm Width: 145 mm Height: 70 mm Height: 48 mm Height: 90 mm Height: 50 mm REF 123TA5372 REF 107TA7981 REF 123TA5373 REF 123TA5374 Foreground: MIXED Background: MIXED Width: 150 mm Height: 70 mm REF 111TA1999
180,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: RED\nWidth: 150... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 0, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: MIXED\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: RED\nWidth: 150... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 0, dtype: object"
180,,"Name: 1, dtype: object",": Name: 1, dtype: object"
180,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 2, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 2, dtype: object"
180,,"Name: 3, dtype: object",": Name: 3, dtype: object"
180,,"Name: 4, dtype: object",": Name: 4, dtype: object"
180,,"Name: 5, dtype: object",": Name: 5, dtype: object"
180,,"Name: 6, dtype: object",": Name: 6, dtype: object"
180,,"Name: 7, dtype: object",": Name: 7, dtype: object"
180,,"Name: 8, dtype: object",": Name: 8, dtype: object"
181,EFAS,caTegOry: Tyres For all our latest catalogue updates and com,"caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com 179 EFAS seryT :yrogetac Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: YELLOW Background: WHITE Width: 74 mm Width: 74 mm Width: 128 mm Width: 53 mm Height: 36 mm Height: 37 mm Height: 43 mm Height: 30 mm REF 137TA9528 REF 138TA2068 REF 138TA3520 REF 138TA2446 Foreground: BLACK Foreground: WHITE Foreground: BLACK Foreground: BLACK Background: TRANSPARENT Background: TRANSPARENT Background: SILVER Background: GREY Width: 60 mm Width: 60 mm Width: 80 mm Width: 50 mm Height: 20 mm Height: 30 mm Height: 48 mm Height: 50 mm REF 137TA9766 REF 137TA9718 REF 138TA3769 REF 123TA5376 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: WHITE Background: TRANSPARENT Background: TRANSPARENT Background: TRANSPARENT Background: BLUE Width: 75 mm Width: 94 mm Width: 100 mm Width: 41 mm Height: 29 mm Height: 42 mm Height: 38 mm Height: 27 mm REF 111TA2468 REF 111TA2471 REF 123TA5377 REF 138TA1818 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: YELLOW Background: YELLOW Background: WHITE Background: GREY Width: 50 mm Width: 68 mm Width: 82 mm Width: 50 mm Height: 60 mm Height: 150 mm Height: 82 mm Height: 23 mm REF 138TA2826 REF 138TA3895 REF 138TA3833 REF 138TA1775 Foreground: BLACK Foreground: WHITE Foreground: BLACK Foreground: BLACK Background: WHITE Background: BLUE Background: GREY Background: SILVER Width: 126,5 mm Width: 41,5 mm Width: 50 mm Width: 55 mm Height: 63,5 mm Height: 27,5 mm Height: 22 mm Height: 30 mm REF 126TA3803 REF 138TA1814 REF 138TA1994 REF 138TA3434"
181,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 7... Foreground: BLACK\nBackground: WHITE\nWidth: 7... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Name: 0, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 7... Foreground: BLACK\nBackground: WHITE\nWidth: 7... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Name: 0, dtype: object"
181,,"Name: 1, dtype: object",": Name: 1, dtype: object"
181,BLACK,"Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: GREY\nWidth: 50... Name: 2, dtype: object",": Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: GREY\nWidth: 50... Name: 2, dtype: object"
181,,"Name: 3, dtype: object",": Name: 3, dtype: object"
181,BLACK,"Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: WHITE\nBackground: BLUE\nWidth: 41... Name: 4, dtype: object",": Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: WHITE\nBackground: BLUE\nWidth: 41... Name: 4, dtype: object"
181,,"Name: 5, dtype: object",": Name: 5, dtype: object"
181,BLACK,"Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: GREY\nWidth: 50... Name: 6, dtype: object",": Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: GREY\nWidth: 50... Name: 6, dtype: object"
181,,"Name: 7, dtype: object",": Name: 7, dtype: object"
181,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: WHITE\nBackground: BLUE\nWidth: 41... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: WHITE\nBackground: BLUE\nWidth: 41... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object"
182,EFAS,caTegOry: Tyres For all our latest catalogue updates and com,"caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com 180 seryT :yrogetac EFAS caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: TRANSPARENT Background: YELLOW Background: SILVER Background: SILVER Width: 75 mm Width: 79 mm Width: 80 mm Width: 80 mm Height: 37 mm Height: 27 mm Height: 48 mm Height: 48 mm REF 111TA2498 REF 123TA4396 REF 138TA2059 REF 138TA2144 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: YELLOW Background: SILVER Background: SILVER Background: WHITE Width: 75 mm Width: 40 mm Width: 40 mm Height: 37 mm Height: 20 mm Height: 20 mm Diameter: 10 mm REF 111TA2190 REF 138TA3711 REF 111TA2501 REF 138TA3123 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: WHITE Background: GREY Background: TRANSPARENT Background: YELLOW Background: TRANSPARENT Width: 50 mm Width: 80 mm Width: 79 mm Width: 80 mm Height: 22 mm Height: 37 mm Height: 28 mm Height: 30 mm REF 138TA1778 REF 137TA9310 REF 137TA9525 REF 137TA9527 Foreground: WHITE Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: TRANSPARENT Background: YELLOW Background: GREY Background: TRANSPARENT Width: 55 mm Width: 76 mm Width: 50 mm Width: 59 mm Height: 27,5 mm Height: 38 mm Height: 50 mm Height: 33 mm REF 138TA1058 REF 138TA3155 REF 123TA5380 REF 111TA2504 Foreground: WHITE Foreground: BLACK Foreground: MIXED Foreground: BLACK Background: TRANSPARENT Background: TRANSPARENT Background: TRANSPARENT Background: SILVER Width: 62 mm Width: 50 mm Width: 70 mm Width: 40 mm Height: 18 mm Height: 20 mm Height: 20 mm Height: 20 mm REF 123TA5381 REF 138TA3561 REF 111TA1979 REF 123TA5382 181"
182,BLACK,"Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 0, dtype: object",": Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 0, dtype: object"
182,,"Name: 1, dtype: object",": Name: 1, dtype: object"
182,BLACK,"Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: WHITE\nDiameter... Name: 2, dtype: object",": Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: WHITE\nDiameter... Name: 2, dtype: object"
182,,"Name: 3, dtype: object",": Name: 3, dtype: object"
182,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Name: 4, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Name: 4, dtype: object"
182,,"Name: 5, dtype: object",": Name: 5, dtype: object"
182,WHITE,"Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Name: 6, dtype: object",": Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Name: 6, dtype: object"
182,,"Name: 7, dtype: object",": Name: 7, dtype: object"
182,WHITE,"Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: MIXED\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object",": Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: MIXED\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object"
183,EFAS,caTegOry: Tyres caTegOry: Tyres For all our latest catalogue,"caTegOry: Tyres caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com For all our latest catalogue updates and company info: www.tvh.com 180 181 EFAS seryT :yrogetac Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: MIXED Background: YELLOW Background: YELLOW Width: 40 mm Width: 80 mm Width: 79 mm Width: 75 mm Height: 20 mm Height: 28 mm Height: 27 mm Height: 37 mm REF 126TA3369 REF 111TA2082 REF 137TA9720 REF 138TA2420 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: YELLOW Background: SILVER Background: GREY Background: TRANSPARENT Width: 150 mm Width: 54 mm Width: 50 mm Width: 64 mm Height: 100 mm Height: 54 mm Height: 50 mm Height: 39 mm REF 138TA3105 REF 139TA3111 REF 123TA5384 REF 111TA2505 Foreground: BLACK Foreground: MIXED Foreground: BLACK Foreground: BLACK Background: YELLOW Background: MIXED Background: YELLOW Background: SILVER Width: 78 mm Width: 99,5 mm Width: 100 mm Width: 115 mm Height: 28 mm Height: 36,5 mm Height: 37 mm Height: 70 mm REF 137TA9526 REF 138TA2005 REF 123TA5385 REF 126TA4209 Foreground: MIXED Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: BLACK Background: YELLOW Background: TRANSPARENT Background: TRANSPARENT Width: 75 mm Width: 74,5 mm Width: 45 mm Width: 40 mm Height: 37 mm Height: 37 mm Height: 15 mm Height: 15 mm REF 138TA2031 REF 138TA3402 REF 137TA9737 REF 137TA9738 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 54 mm Width: 51 mm Width: 50 mm Width: 51 mm Height: 54 mm Height: 76 mm Height: 76 mm Height: 77 mm REF 138TA2978 REF 138TA3423 REF 138TA3617 REF 138TA3638"
183,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 40... Foreground: BLACK\nBackground: MIXED\nWidth: 8... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Name: 0, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 40... Foreground: BLACK\nBackground: MIXED\nWidth: 8... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Name: 0, dtype: object"
183,,"Name: 1, dtype: object",": Name: 1, dtype: object"
183,BLACK,"Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Name: 2, dtype: object",": Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Name: 2, dtype: object"
183,,"Name: 3, dtype: object",": Name: 3, dtype: object"
183,BLACK,"Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: MIXED\nBackground: MIXED\nWidth: 9... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 4, dtype: object",": Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: MIXED\nBackground: MIXED\nWidth: 9... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 4, dtype: object"
183,,"Name: 5, dtype: object",": Name: 5, dtype: object"
183,MIXED,"Foreground: MIXED\nBackground: BLACK\nWidth: 7... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Name: 6, dtype: object",": Foreground: MIXED\nBackground: BLACK\nWidth: 7... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Name: 6, dtype: object"
183,,"Name: 7, dtype: object",": Name: 7, dtype: object"
183,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Name: 8, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 5... Name: 8, dtype: object"
184,EFAS,caTegOry: Tyres For all our latest catalogue updates and com,"caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com 182 seryT :yrogetac EFAS caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: SILVER Background: SILVER Background: WHITE Width: 50 mm Width: 80 mm Width: 50 mm Width: 90 mm Height: 50 mm Height: 48 mm Height: 50 mm Height: 100 mm REF 138TA3298 REF 123TA5388 REF 123TA5389 REF 138TA2128 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 101 mm Width: 102 mm Width: 82 mm Width: 82,5 mm Height: 76 mm Height: 76 mm Height: 35 mm Height: 32 mm REF 138TA2764 REF 138TA3805 REF 138TA2258 REF 138TA2789 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 82,5 mm Width: 83 mm Width: 101 mm Width: 102 mm Height: 35 mm Height: 35 mm Height: 76 mm Height: 76 mm REF 138TA2854 REF 138TA2840 REF 138TA3676 REF 139TA3112 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: GREEN Width: 101,5 mm Width: 101,5 mm Width: 102 mm Width: 76 mm Height: 76 mm Height: 76 mm Height: 76 mm Height: 64 mm REF 138TA2769 REF 138TA1953 REF 138TA1788 REF 138TA2768 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 98 mm Width: 102 mm Width: 100 mm Width: 101,5 mm Height: 75 mm Height: 76 mm Height: 75 mm Height: 76 mm REF 107TA8030 REF 138TA2843 REF 138TA3407 REF 138TA2842 183"
184,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: WHITE\nWidth: 9... Name: 0, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Foreground: BLACK\nBackground: WHITE\nWidth: 9... Name: 0, dtype: object"
184,,"Name: 1, dtype: object",": Name: 1, dtype: object"
184,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Name: 2, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Name: 2, dtype: object"
184,,"Name: 3, dtype: object",": Name: 3, dtype: object"
184,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Name: 4, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: WHITE\nWidth: 8... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Name: 4, dtype: object"
184,,"Name: 5, dtype: object",": Name: 5, dtype: object"
184,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: GREEN\nWidth: 7... Name: 6, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: GREEN\nWidth: 7... Name: 6, dtype: object"
184,,"Name: 7, dtype: object",": Name: 7, dtype: object"
184,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 9... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Name: 8, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 9... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Name: 8, dtype: object"
185,EFAS,caTegOry: Tyres caTegOry: Tyres For all our latest catalogue,"caTegOry: Tyres caTegOry: Tyres For all our latest catalogue updates and company info: www.tvh.com For all our latest catalogue updates and company info: www.tvh.com 182 183 EFAS seryT :yrogetac Foreground: MIXED Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: MIXED Background: WHITE Background: WHITE Background: WHITE Width: 70 mm Width: 101,5 mm Width: 37 mm Width: 101,5 mm Height: 51 mm Height: 76 mm Height: 32 mm Height: 77 mm REF 138TA1606 REF 138TA2535 REF 138TA3152 REF 138TA3231 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: MIXED Background: WHITE Background: WHITE Background: WHITE Width: 101,5 mm Width: 102 mm Width: 101,5 mm Width: 101,5 mm Height: 76 mm Height: 76 mm Height: 76 mm Height: 76 mm REF 138TA2406 REF 139TA3113 REF 138TA2841 REF 138TA3131 Foreground: BLACK Foreground: BLACK Foreground: MIXED Foreground: MIXED Background: MIXED Background: MIXED Background: MIXED Background: MIXED Width: 52 mm Width: 52 mm Width: 77 mm Width: 63,5 mm Height: 69 mm Height: 68,5 mm Height: 89 mm Height: 70 mm REF 126TA9546 REF 126TA9548 REF 126TA3990 REF 139TA3114 Foreground: BLACK Foreground: BLACK Background: WHITE Background: YELLOW Width: 64 mm Width: 75 mm Height: 89 mm Height: 37 mm REF 139TA3115 REF 138TA3841"
185,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 3... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Name: 0, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: WHITE\nWidth: 3... Foreground: BLACK\nBackground: WHITE\nWidth: 1... Name: 0, dtype: object"
185,,"Name: 1, dtype: object",": Name: 1, dtype: object"
